,loan_amnt,funded_amnt,int_rate,annual_inc,total_pymnt
80,35000,22075,17.27,150000.0,28887.10007
81,10000,10000,14.27,68000.0,10672.89443
82,11800,11800,12.69,42000.0,14249.84001
83,4500,4500,6.03,53000.0,4930.555891
84,7000,7000,12.69,35000.0,8453.260001
85,9200,9200,12.42,60000.0,10482.84389
86,14000,14000,17.27,28000.0,18176.96
87,4500,4500,10.65,42000.0,4910.673856
88,12000,12000,16.29,88365.0,14688.34153
89,12000,12000,13.49,72000.0,13990.92132
90,12000,12000,10.65,62000.0,12780.07239
91,7000,7000,10.65,43680.0,7689.273614
92,8200,8200,19.42,120000.0,11909.45001
93,10500,10500,12.69,66000.0,11233.31941
94,7000,7000,11.71,39120.0,7933.963623
95,15300,15300,22.06,85000.0,21988.2
96,20000,12800,11.71,47800.0,15169.30547
97,17500,17500,17.27,45000.0,10037.1
98,3500,3500,6.03,83000.0,3834.858171
99,6000,6000,12.69,81000.0,7037.39
100,6200,6200,9.91,25000.0,2452.22
101,16000,16000,17.58,65000.0,20908.55
102,6000,6000,8.9,28800.0,6858.700001
103,7200,7200,9.91,135000.0,8352.709998
104,9500,9500,8.9,50000.0,10495.82126
105,18825,18825,16.77,38000.0,18749.25
106,24000,24000,10.65,45000.0,28143.25001
107,6000,6000,13.49,80000.0,7328.920002
108,6000,6000,13.49,50000.0,7328.920002
109,2100,2100,12.42,30000.0,2553.84
110,5500,5500,6.62,110000.0,6079.289999
111,11000,11000,6.62,45608.0,12158.61
112,26800,26800,20.89,120000.0,32895.86293
113,8000,8000,12.69,35000.0,9000.143229
114,10000,10000,18.25,75000.0,11730.6
115,8000,8000,11.71,35000.0,9435.85818
116,10000,10000,8.9,24000.0,10869.33055
117,12000,12000,11.71,126000.0,14183.43257
118,10000,10000,7.9,43000.0,11264.48
119,12000,12000,9.91,50000.0,13921.18
120,25000,25000,13.49,67000.0,23880.65
121,19750,19750,10.65,45000.0,11930.65
122,10000,10000,9.91,31200.0,10904.83903
123,13650,13650,12.42,66000.0,16012.11212
124,28000,11800,19.91,52000.0,12173.07
125,18000,18000,7.9,56964.0,20276.0603
126,2500,2500,14.27,49500.0,2529.902083
127,21000,21000,20.3,70000.0,27097.72185
128,35000,35000,8.9,125000.0,40009.00999
129,10000,10000,7.51,33000.0,11028.3575
130,7000,7000,12.69,30000.0,8453.250717
131,24000,24000,15.96,90000.0,5895.68
132,10625,10625,7.51,23000.0,11843.01164
133,5000,5000,14.65,24000.0,5682.99014
134,8850,8850,6.62,62000.0,9782.190001
135,6375,6375,7.51,44000.0,6737.872873
136,6000,6000,11.71,90000.0,7041.911592
137,11100,11100,6.62,41000.0,8120.14
138,10000,10000,12.69,56000.0,12739.07
139,6200,6200,6.03,26500.0,6793.18285
140,15000,15000,18.64,54000.0,19405.30244
141,4200,4200,11.71,53000.0,5001.080367
142,14000,14000,14.27,52800.0,14488.26632
143,8875,8875,7.51,38000.0,9713.561012
144,13500,13500,9.91,38000.0,15659.00546
145,12000,12000,9.91,42000.0,11234.49
146,16000,16000,19.91,55000.0,22286.22034
147,21600,21600,19.42,60000.0,27586.78141
148,6000,6000,10.65,87000.0,7000.232528
149,8450,8450,16.77,25000.0,12206.22001
150,20000,20000,13.49,82000.0,26403.41
151,10000,10000,11.71,60000.0,6002.23
152,12000,12000,16.29,80000.0,14949.9047
153,13475,13475,13.49,25000.0,6198.89
154,7200,7200,12.42,48000.0,8677.64414
155,5600,5600,14.65,85000.0,1350.86
156,12000,12000,14.27,57000.0,14401.59573
157,8500,8500,6.03,25000.0,9074.821136
158,8000,8000,9.91,34000.0,9280.79
159,8000,8000,12.42,40000.0,9623.539087
160,16000,16000,15.27,42656.4,22394.08
161,15000,15000,17.27,44400.0,17994.71325
162,10000,10000,9.91,30000.0,11387.44049
163,10000,10000,6.62,70000.0,10903.4743
164,8000,8000,14.65,28000.0,8637.015205
165,22000,22000,9.91,50000.0,25523.44999
166,6000,6000,14.27,94800.0,7217.547545
167,16000,16000,9.91,40000.0,20209.06
168,2500,2500,7.51,12000.0,1838.88
169,13500,13500,9.91,36000.0,15622.37656
170,25000,25000,12.42,225000.0,30073.68
171,10000,10000,13.49,45900.0,12177.62544
172,2500,2500,13.49,27200.0,3053.71
173,7325,7325,12.69,42000.0,8845.75
174,4000,4000,12.42,135000.0,4337.425225
175,10000,10000,13.49,65000.0,9270.84
176,7750,7750,17.27,24000.0,6934.0
177,20000,20000,20.89,70000.0,5425.96
178,9600,9600,12.42,65000.0,11338.81668
179,21000,21000,11.71,60000.0,3708.24
180,14000,14000,10.65,30000.0,15200.41047
181,13350,13350,12.42,43000.0,16059.37
182,15000,15000,16.77,42000.0,13373.77
183,15000,15000,17.27,75000.0,10198.4
184,11000,11000,13.49,129000.0,13131.62
185,35000,35000,10.65,168000.0,38061.50488
186,9000,9000,10.65,74000.0,10553.74
187,22475,22475,15.27,52000.0,32080.69004
188,16000,16000,12.69,58500.0,12295.72
189,13500,13500,12.69,71000.0,16302.76
190,24000,24000,12.69,75000.0,28982.71001
191,12000,12000,10.65,60000.0,14071.63
192,8400,8400,16.77,87996.0,12290.64001
193,28000,28000,17.58,140000.0,28411.15
194,14000,14000,6.62,66000.0,15451.16044
195,12000,12000,14.27,70000.0,4241.16
196,25000,25000,11.71,100000.0,29279.4541
197,9000,9000,12.69,50000.0,10868.48
198,13250,13250,10.65,35000.0,15537.4
199,20000,20000,13.49,75000.0,23865.33884
200,3000,3000,14.65,71000.0,3725.309999
201,7350,7350,10.65,48000.0,8618.839995
202,11500,11500,15.27,36000.0,14406.18999
203,13650,13650,12.42,86000.0,8203.29
204,10500,10500,16.29,30000.0,2222.16
205,12000,12000,9.91,60000.0,13921.18
206,6000,6000,8.9,34000.0,6858.700002
207,11500,11500,15.27,44200.0,13605.53078
208,7000,7000,12.42,82000.0,8293.148925
209,29500,29500,20.3,83000.0,45755.22998
210,2000,2000,15.27,41000.0,2520.401456
211,11625,11625,13.49,36000.0,14199.83
212,15075,15075,14.27,35000.0,15502.77
213,5300,5300,15.27,30000.0,6627.889998
214,8200,8200,6.62,40000.0,9063.720001
215,12000,12000,12.42,105000.0,14435.34999
216,8650,8650,14.27,45000.0,10683.73
217,21000,11800,17.27,109000.0,15297.1
218,16000,16000,17.27,50000.0,20783.1
219,12000,12000,12.42,83000.0,14435.35
220,9500,9500,12.69,52500.0,7002.16
221,7400,7400,13.49,25000.0,9039.034417
222,14400,14400,13.49,60000.0,15454.59422
223,24250,18100,23.91,120000.0,22206.82132
224,7200,7200,7.9,68000.0,7730.87
225,26000,26000,16.77,53000.0,9622.45
226,7000,7000,11.71,69600.0,6126.24
227,4000,4000,7.51,65000.0,4182.637561
228,1500,1500,17.27,144000.0,1521.6
229,19600,19600,12.42,75000.0,21996.45731
230,2500,2500,11.71,29000.0,2896.888187
231,10000,10000,12.69,70000.0,6351.59
232,10000,10000,6.62,45000.0,11053.31
233,4225,4225,12.42,55200.0,5082.460001
234,3500,3500,7.9,61440.0,3942.557993
235,12000,12000,6.62,56000.0,13263.96
236,16500,16500,8.9,47000.0,18858.32
237,22000,22000,21.67,55000.0,25029.21535
238,12000,12000,14.65,71000.0,12430.41857
239,15600,15600,12.69,50000.0,16894.08
240,10800,10800,12.42,135000.0,13007.71999
241,14000,14000,12.42,63000.0,16793.82458
242,18825,18825,17.58,44000.0,24593.14
243,6000,6000,13.49,50000.0,7328.920002
244,12000,12000,9.91,80000.0,13909.61999
245,10000,10000,12.42,45000.0,12029.45
246,8000,8000,7.9,78000.0,8847.221069
247,14125,14125,9.91,33000.0,16058.32565
248,14000,14000,12.69,62800.0,16902.98001
249,13200,8975,17.27,26400.0,10202.58059
250,4000,4000,19.03,80000.0,4341.504299
251,4000,4000,12.69,25000.0,2022.66
252,10500,10500,6.03,65000.0,11504.35
253,5500,5500,7.9,59000.0,6172.07856
254,7350,7350,11.71,33000.0,8728.625013
255,10000,10000,12.42,39000.0,11604.88
256,12000,12000,7.51,42000.0,13459.56667
257,5000,5000,11.71,38004.0,6534.43
258,8000,8000,11.71,31000.0,8306.628279
259,4500,4500,8.9,50700.0,5051.236671
260,18000,18000,12.42,75000.0,21634.66001
261,12300,12300,13.49,30000.0,14688.44
262,12000,12000,13.49,40000.0,12762.81967
263,10000,10000,13.49,50000.0,12082.61063
264,6000,6000,7.9,80000.0,6633.907565
265,12000,12000,12.69,40000.0,14010.27472
266,12000,12000,8.9,80000.0,10411.4
267,7000,7000,11.71,75000.0,8335.090002
268,35000,26825,18.64,85000.0,28062.23874
269,1400,1400,7.9,28800.0,1478.900477
270,16000,16000,13.49,35000.0,10343.32
271,3200,3200,9.91,61200.0,3711.14
272,8000,8000,7.9,40000.0,8987.222603
273,11875,11875,12.69,25920.0,1185.35
274,5000,5000,6.03,54000.0,5411.159335
275,1800,1800,6.62,18000.0,1880.260813
276,35000,35000,8.9,85000.0,37305.86111
277,18000,18000,8.9,78000.0,19886.52562
278,14000,14000,7.9,45600.0,6130.32
279,5000,5000,12.42,70000.0,5501.552292
280,8000,8000,15.96,70000.0,9998.939479
281,10000,10000,6.03,80000.0,10840.60453
282,10000,10000,7.51,50000.0,11021.30568
283,12000,12000,12.42,35000.0,14435.35
284,23200,23200,7.9,65000.0,24554.56476
285,18000,18000,15.27,84000.0,22354.28
286,4800,4800,15.27,75000.0,6013.039997
287,7300,7300,11.71,35000.0,8657.784357
288,10400,10400,9.91,40000.0,12024.29035
289,6600,6600,9.91,100000.0,7276.236207
290,12000,12000,8.9,40000.0,13717.39
291,13250,13250,17.27,52000.0,15655.20629
292,12000,12000,11.71,92500.0,14288.77
293,25000,25000,9.91,61000.0,29002.42
294,6000,6000,10.65,36000.0,7035.820001
295,12000,12000,7.51,68000.0,12554.81702
296,14400,14400,11.71,80000.0,15544.00676
297,10000,10000,12.42,43000.0,12029.45
298,8000,8000,11.71,150000.0,9525.87
299,8000,8000,16.29,50000.0,4533.54
300,30000,30000,12.42,70000.0,17179.15
301,18000,18000,16.77,40000.0,11229.37
302,13250,13250,11.71,35000.0,15777.22001
303,14000,14000,14.27,80000.0,17291.65001
304,20000,20000,20.3,59000.0,16063.42
305,10000,10000,16.29,40000.0,12458.62318
306,35000,23250,20.3,85000.0,36105.41996
307,4000,4000,6.03,55000.0,4355.672911
308,13000,13000,9.91,110000.0,14960.06316
309,28000,28000,12.69,100000.0,33813.15999
310,10000,10000,13.49,62000.0,11254.78061
311,20000,20000,7.9,45000.0,22528.97
312,18000,18000,9.91,110000.0,19207.36256
313,9000,9000,19.91,60000.0,5227.64
314,25000,25000,18.64,61500.0,25775.38
315,10000,10000,11.71,33000.0,11841.29287
316,4200,4200,6.03,61000.0,4601.849929
317,20000,20000,15.27,78216.0,5797.78
318,18000,18000,17.27,62000.0,20808.83
319,24000,24000,16.29,50964.0,30499.52001
320,4475,4475,15.27,43680.0,5605.910002
321,20000,20000,14.65,56000.0,24548.68
322,12000,12000,12.42,50700.0,14435.34999
323,18000,18000,17.58,60000.0,26378.55001
324,5000,5000,12.42,30000.0,833.7
325,3000,3000,6.03,50000.0,3207.90304
326,25000,25000,19.03,75000.0,33697.87
327,18000,18000,19.03,90000.0,24261.12
328,12000,12000,9.91,55000.0,5851.68
329,20000,20000,15.27,50000.0,25054.29
330,10000,10000,13.49,84000.0,12159.18267
331,15000,15000,12.42,155000.0,17717.13342
332,12000,12000,7.9,62000.0,13449.50075
333,20000,13475,10.65,175000.0,15066.48
334,6300,6300,11.71,30000.0,7501.630002
335,20000,20000,16.77,50000.0,25695.8
336,35000,23150,17.27,208000.0,26016.92242
337,8250,8250,15.96,35004.0,10439.29849
338,20000,20000,12.69,85000.0,23468.38
339,10000,10000,11.71,32000.0,1958.97
340,24000,24000,8.9,116400.0,8649.71
341,14400,14400,12.69,40000.0,17389.61
342,6000,6000,14.65,34000.0,7464.910002
343,22000,22000,15.96,73000.0,27828.63995
344,12000,12000,11.71,57200.0,3564.9
345,16000,16000,16.77,114000.0,20470.04
346,10000,10000,10.65,90000.0,11726.32
347,16000,11625,19.03,54000.0,17833.52997
348,10000,10000,12.69,35000.0,7690.46
349,3500,3500,13.49,56000.0,3615.368378
350,9600,9600,9.91,35000.0,11084.44979
351,9875,9875,7.9,40000.0,11123.65
352,21500,16975,17.58,59000.0,19867.56312
353,4800,4800,7.9,48000.0,5080.284197
354,7800,7800,6.03,85000.0,8546.299999
355,20000,20000,14.27,70000.0,24002.34106
356,9750,9750,7.51,35000.0,5150.83
357,18000,15050,15.96,91000.0,18898.54643
358,5000,5000,6.03,30000.0,5451.317057
359,9000,9000,14.65,45000.0,10752.06648
360,7200,7200,7.9,55000.0,8110.439998
361,3000,3000,19.03,53004.0,4040.92
362,25000,25000,19.42,60000.0,29415.85
363,25000,25000,15.27,82000.0,28098.04098
364,10000,10000,15.96,53000.0,12649.36
365,8875,8875,12.69,35360.0,2046.9
366,15550,15550,11.71,54000.0,18515.86999
367,17000,17000,15.27,65000.0,21554.79
368,7500,7500,12.69,65000.0,9057.079996
369,8875,8875,8.9,28800.0,10145.14993
370,4500,4500,17.27,42000.0,5507.127762
371,5800,5800,12.42,36000.0,6977.099999
372,10000,10000,11.71,40000.0,11819.55603
373,10000,10000,9.91,50000.0,11401.47818
374,14000,14000,11.71,52000.0,15611.66481
375,25000,25000,19.03,85000.0,38487.04
376,12000,12000,8.9,32000.0,8740.16
377,24000,24000,7.9,75000.0,27034.77001
378,14000,14000,14.27,80000.0,17235.86936
379,12000,12000,8.9,40246.0,13739.32999
380,15000,15000,12.69,30000.0,9543.84
381,8050,8050,12.69,36000.0,1330.92
382,5600,5600,10.65,60000.0,6566.699998
383,7500,7500,9.91,31200.0,8551.156268
384,7000,7000,11.71,90000.0,8335.090002
385,5400,5400,7.9,40000.0,6082.819999
386,16000,16000,12.42,90000.0,19247.16
387,35000,27575,12.42,105000.0,34446.38201
388,6000,6000,7.9,30084.0,3662.31
389,4125,4125,12.69,36000.0,5551.360004
390,9800,9800,16.29,67000.0,12161.90555
391,15700,15700,18.25,63000.0,23722.74002
392,5000,5000,6.62,276000.0,5526.66
393,9900,9900,11.71,26400.0,11788.23
394,4000,4000,11.71,24000.0,4186.02303
395,15000,15000,11.71,68400.0,17861.03001
396,6250,6250,15.96,29120.0,7905.88
397,6400,6400,16.29,29120.0,8133.129999
398,8850,8850,13.49,89122.0,12021.06002
399,12000,12000,15.27,54000.0,15032.53999
400,15000,15000,8.9,30000.0,17022.63829
401,6500,6500,14.27,30000.0,7997.879996
402,8000,8000,15.96,50000.0,10119.53
403,30000,19825,21.28,92000.0,31832.18997
404,15000,15000,14.65,100500.0,16917.77509
405,10200,10200,14.27,40000.0,12187.97328
406,9000,9000,12.42,47000.0,10826.53001
407,6500,6500,16.29,68000.0,8197.123026
408,23000,23000,21.28,95000.0,30967.61703
409,2000,2000,7.9,39600.0,2252.86
410,8000,8000,13.49,30000.0,9771.92
411,8875,8875,7.51,30000.0,9740.179268
412,1500,1500,18.64,17000.0,560.69
413,8000,8000,12.42,42000.0,9641.28
414,20000,16925,14.65,75000.0,3612.52
415,6500,6500,11.71,42000.0,7730.649996
416,9600,9600,13.49,27000.0,11411.61548
417,25975,16475,12.69,130000.0,19342.55
418,10000,10000,7.9,46000.0,11264.46
419,15000,15000,12.42,80000.0,18044.24001
420,9000,9000,6.62,45000.0,9932.884725
421,10000,10000,7.9,72500.0,11264.46
422,1000,1000,14.65,18408.0,91.31
423,14000,14000,7.9,30000.0,15298.55288
424,8500,8500,14.27,50000.0,2444.63
425,15000,15000,19.03,75000.0,22607.34002
426,4500,4500,15.96,65000.0,5582.66199
427,3000,3000,7.51,65000.0,3359.94
428,10000,10000,9.91,120000.0,11600.98
429,21250,21250,16.77,42500.0,30786.24002
430,33425,20675,13.49,75000.0,19893.95
431,35000,35000,19.42,195000.0,54427.23
432,7200,7200,15.27,54990.0,8954.778171
433,18000,18000,11.71,40000.0,10850.22
434,23000,23000,7.9,137000.0,23980.72134
435,20000,20000,16.77,60000.0,18799.72
436,6000,6000,17.58,30120.0,8207.84
437,7000,7000,8.9,46000.0,8001.780002
438,21000,21000,12.69,135000.0,24295.03896
439,8250,8250,7.51,31500.0,9239.889998
440,13000,13000,9.91,65000.0,14822.16555
441,18000,18000,6.62,78000.0,19895.96
442,7200,7200,6.03,60000.0,7882.326305
443,16500,16500,8.9,48000.0,18160.50019
444,8125,8125,7.9,25000.0,9152.370003
445,18800,18800,7.51,82000.0,21055.77
446,26800,26800,19.03,82000.0,31286.01045
447,19200,19200,7.9,42000.0,21329.05118
448,12875,8475,17.58,27600.0,11224.59391
449,4000,4000,12.42,38000.0,4300.810465
450,4000,4000,16.29,35000.0,5055.326911
451,12000,12000,9.91,33000.0,13874.18116
452,2625,2625,11.71,52800.0,3126.259999
453,18000,18000,13.49,40900.0,21917.65
454,7000,7000,9.91,73882.0,8120.660002
455,11300,11300,12.69,36000.0,12791.39767
456,4000,4000,9.91,130000.0,4635.56
457,8000,8000,6.03,57200.0,8518.253867
458,14400,14400,18.25,51871.0,7869.17
459,4375,4375,12.42,15000.0,5262.849999
460,4100,4100,7.51,70197.0,4584.053003
461,6000,6000,8.9,47000.0,6858.700002
462,4200,4200,17.27,43000.0,4200.0
463,4000,4000,6.62,120000.0,4153.202479
464,3000,3000,10.65,86004.0,2236.73
465,5400,5400,12.69,75000.0,6276.636933
466,15000,15000,16.29,110000.0,1873.45
467,20000,20000,18.64,80000.0,22957.86276
468,10400,10400,12.69,44000.0,12559.16001
469,4500,4500,17.58,51600.0,6294.510003
470,11500,11500,12.42,38500.0,13853.32067
471,10000,10000,6.62,75000.0,10744.74135
472,18225,13450,13.49,37320.0,14879.72301
473,3600,3600,8.9,55000.0,3977.331551
474,18500,13250,11.71,100000.0,16367.24901
475,16800,16800,18.25,70000.0,22813.53373
476,10000,10000,17.27,68000.0,8589.12
477,15000,15000,18.25,66000.0,17729.28955
478,8000,8000,11.71,85000.0,8371.963221
479,25000,17950,16.77,83004.0,19647.9686
480,16000,16000,7.9,51000.0,11928.62
481,8000,8000,10.65,55000.0,8925.982941
482,7200,7200,7.51,47000.0,8063.919998
483,12000,12000,7.51,86000.0,13099.51001
484,2200,2200,15.27,48000.0,2294.0
485,20000,20000,12.69,49000.0,23937.44
486,28000,28000,12.42,85000.0,31961.73394
487,6000,6000,7.51,50000.0,6719.920001
488,25000,25000,19.42,105000.0,34660.23
489,8000,8000,8.9,51204.0,4639.04
490,14400,14400,15.27,42996.0,14762.61059
491,20000,13700,19.03,60000.0,19738.8249
492,25000,19950,14.27,85000.0,24721.62
493,14050,14050,8.9,120000.0,15811.69163
494,6000,6000,13.49,62691.0,7328.920001
495,16100,16100,11.71,36000.0,18850.11
496,35000,23250,20.3,85000.0,3093.5
497,10525,10525,7.9,49668.0,11650.69649
498,7200,7200,15.96,30000.0,9107.579997
499,18500,15775,10.65,40000.0,18898.14453
500,12000,12000,13.49,40000.0,13686.18965
501,12000,12000,11.71,100000.0,14288.76999
502,3000,3000,11.71,56312.0,3572.190424
503,9500,9500,16.29,54011.0,10658.90237
504,19775,19775,12.42,49110.32,22696.10103
505,12000,12000,14.65,75000.0,7694.4
506,28000,28000,14.27,95000.0,35918.81539
507,30000,30000,12.42,80000.0,36088.47999
508,16000,16000,10.65,55000.0,18762.13
509,14500,14500,14.65,90000.0,18005.93
510,11700,11700,14.65,68500.0,14115.57979
511,4150,4150,10.65,100000.0,4833.717409
512,15000,15000,11.71,72000.0,17546.34
513,24000,24000,16.77,70000.0,30705.06003
514,21250,21250,12.42,37000.0,8880.05
515,10000,10000,14.27,75000.0,12351.21
516,25000,25000,18.25,75000.0,32075.95431
517,4000,4000,15.96,39000.0,4928.049091
518,15000,15000,11.71,60000.0,17604.81332
519,20000,20000,13.49,68000.0,27154.14
520,15000,15000,17.58,110000.0,17854.60083
521,3600,3600,15.96,40000.0,4553.736107
522,6000,6000,19.03,31000.0,8951.190009
523,15000,15000,15.27,60000.0,6379.19
524,12000,12000,18.25,43000.0,17523.11997
525,12375,12375,7.51,42000.0,13174.64159
526,4000,4000,12.69,30000.0,2152.95
527,13000,13000,10.65,50000.0,15244.21999
528,5000,5000,6.62,39396.0,5496.717023
529,5000,5000,15.96,98000.0,6016.294917
530,26000,26000,11.71,62500.0,30959.08001
531,15000,15000,18.64,95000.0,22601.97001
532,4000,4000,19.91,45000.0,1775.8
533,8000,8000,7.9,32400.0,8977.560505
534,1700,1700,7.9,37800.0,1218.5
535,16000,16000,9.91,50000.0,18561.57
536,20000,20000,9.91,114996.0,23342.28925
537,12000,12000,14.65,54400.0,11043.04
538,7000,7000,11.71,72800.0,8335.088037
539,8000,8000,20.3,42500.0,8505.34
540,13000,13000,23.52,61000.0,19604.66
541,13000,13000,16.29,28000.0,8768.3
542,20000,20000,21.28,120000.0,24943.24696
543,18000,18000,13.49,96000.0,21986.92001
544,10000,10000,16.29,83200.0,11714.31834
545,22250,22250,15.27,45000.0,24933.56857
546,24000,24000,17.58,68809.0,4401.18
547,11200,11200,12.42,75000.0,4225.13
548,7000,7000,10.65,52000.0,8208.410001
549,8000,8000,6.03,57600.0,8765.414062
550,22500,22500,16.77,48500.0,31414.37998
551,12000,12000,17.27,95000.0,14497.86079
552,22000,22000,14.65,58000.0,26362.79333
553,6200,6200,10.65,24000.0,6771.658577
554,15900,15900,9.91,58000.0,18176.73103
555,5000,5000,8.9,70000.0,5652.840923
556,16000,16000,6.62,104000.0,17685.3
557,5000,5000,11.71,35000.0,5728.171106
558,3150,3150,15.27,53000.0,3945.990997
559,12000,12000,14.27,28000.0,5423.3
560,28000,28000,7.9,118000.0,9959.66
561,5000,5000,12.42,40000.0,6014.73
562,3000,3000,9.91,42000.0,3480.27
563,3000,3000,7.9,65000.0,2720.04
564,8400,8400,6.62,25000.0,9284.750002
565,7000,7000,10.65,36000.0,8100.969288
566,18550,11600,19.42,45000.0,16080.66
567,2000,2000,9.91,231252.0,2320.195762
568,12000,9600,14.65,65000.0,12009.57
569,8575,8575,17.58,32000.0,4636.75
570,28000,18625,12.42,84996.0,14647.04
571,10000,10000,7.9,66000.0,11234.03642
572,25000,25000,19.42,92000.0,32204.22363
573,8000,8000,11.71,70000.0,9524.25
574,16000,16000,18.25,49000.0,8576.66
575,25000,25000,11.71,76896.0,29603.23218
576,2000,2000,9.91,24000.0,2320.2
577,16800,16800,14.65,60000.0,20862.00998
578,8000,8000,8.9,120000.0,8300.677545
579,12000,12000,12.69,57000.0,15732.30999
580,11000,11000,7.9,80000.0,3094.2
581,5000,5000,16.29,85000.0,4056.05
582,18000,18000,16.29,140000.0,22874.61001
583,10000,10000,12.69,36000.0,9758.77
584,5000,5000,9.91,70000.0,5800.47
585,10000,10000,16.29,51360.0,12708.08
586,25000,25000,9.91,163000.0,26319.63526
587,2400,2400,12.69,59393.0,2853.501245
588,3000,3000,16.29,65000.0,2704.36
589,7700,7700,16.77,29772.96,4911.95
590,2400,2400,13.49,12996.0,2931.54
591,5000,5000,10.65,44475.0,5482.054532
592,14000,14000,17.58,88000.0,16307.63313
593,24500,24500,20.89,85000.0,3994.86
594,2400,2400,10.65,36000.0,2814.299616
595,1800,1800,12.42,117000.0,1994.275589
596,22200,22200,19.42,160000.0,9174.61
597,21400,21400,19.42,80000.0,28127.21444
598,13000,13000,7.9,28000.0,6735.25
599,8000,8000,12.69,48000.0,9660.91
600,3600,3600,12.69,60000.0,3612.83
601,12375,12375,23.13,40000.0,8530.26
602,9400,9400,9.91,45500.0,10880.29
603,9600,9600,14.27,156000.0,11857.13
604,17000,17000,10.65,40000.0,19934.77999
605,25000,17275,19.03,96000.0,23720.15
606,30000,19275,19.03,80000.0,26880.33123
607,10800,10800,14.27,110000.0,12323.67526
608,6000,6000,7.9,59400.0,6757.431242
609,35000,35000,8.9,106000.0,40009.00999
610,10000,10000,10.65,36000.0,10593.80226
611,15000,15000,19.91,51000.0,21055.75337
612,5000,5000,12.69,25000.0,6038.03
613,3000,3000,17.27,35000.0,3968.5
614,7100,7100,14.65,33000.0,3915.2
615,12000,12000,16.77,93000.0,15352.47999
