"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","DaQuan Jeffries","Nyk","G-F","26.8","4","5","17.5","0","0","0","3","0.333","5","0.4","0.5","0.5","2","1","0","0.3","0","0","3","2","3","0","111.6","104.8"
"","Jeremiah Robinson-Earl","Nor","F","23.6","1","5.3","23.8","0","2","0","2","0.5","0","0","0.5","0.347","2","1","1","0","0","0","3","3","4","9.5","99.9","122.7"
"","Jalen Smith","Ind","F-C","24.2","7","6","16.6","32.6","8","0.625","4","0.25","4","0.5","0.5","0.564","1.9","2","0.3","0.3","0.1","0.6","3.9","2.1","4.1","7","109","100.4"
"","Kevin Love","Mia","F","35.8","5","6.4","16.8","18.2","0","0","5","0.6","4","0.25","0.5","0.5","1.8","2.8","0.8","0","0","0.4","4.6","2.6","5.4","9.9","99.1","103.1"
"","Nassir Little","Pho","F-G","24.3","4","3.4","17.2","0","0","0","2","1","3","0.333","0.7","0.7","1.8","0.3","0","0","0","0","2","1.8","2","0","0","0"
"","Jose Alvarado","Nor","G","26.2","4","15.4","17.1","16.7","0","0","6","0.333","14","0.071","0.175","0.175","1.8","1","2.3","1.3","0.3","1","2.8","4","5","4.2","53.7","110.2"
"","Peyton Watson","Den","G","21.7","10","9","15.1","11","6","0.5","12","0.25","12","0.25","0.313","0.338","1.8","1.5","0.4","0","0.6","0.3","3.3","2.2","3.7","4.6","75.9","107.7"
"","Zeke Nnaji","Den","F-C","23.4","3","4.7","19.3","38.3","2","0.5","3","0.667","0","0","0.667","0.644","1.7","0.7","0","0","0.3","0.7","2.3","1.7","2.3","0","92.6","115.4"
"","Brandon Boston Jr.","Lac","G","22.5","3","3.2","22.9","0","2","0.5","4","0.5","0","0","0.5","0.512","1.7","0.7","0.3","0","0","0","2.3","2","2.7","8.9","0","0"
"","Joe Ingles","Orl","F-G","36.7","7","9.6","8.4","0","2","0.5","5","0.4","7","0.286","0.417","0.427","1.6","1.9","1.7","0.4","0","0","3.4","3.3","5.1","7.2","129.3","107.9"
"","Tristan Thompson","Cle","C-F","33.2","10","8.7","10.1","11","2","0.5","16","0.438","0","0","0.438","0.444","1.5","2","1","0.1","0.5","0.2","3.5","2.5","4.5","6.6","121.1","106.8"
"","Dante Exum","Dal","G","28.9","18","6.6","15.6","10.2","4","0.75","20","0.3","15","0.267","0.343","0.367","1.5","0.8","0.7","0.1","0.1","0.2","2.3","2.2","3","5.7","88.2","113.9"
"","Paul Reed","Phi","F","25","6","7.2","13.8","24.5","2","0.5","9","0.444","0","0","0.444","0.455","1.5","2.7","0.3","0.2","0.5","0.5","4.2","1.8","4.5","5.9","105.8","99.7"
"","Gabe Vincent","Lal","G","28","5","13.8","10","20","0","0","5","0.4","7","0.143","0.292","0.292","1.4","1.6","0.6","0.4","0","0.6","3","2","3.6","3.2","62.4","107"
"","Jericho Sims","Nyk","C","25.6","5","5.5","6","0","4","0.75","2","1","0","0","1","0.931","1.4","1.6","0.2","0.4","0.2","0","3","1.6","3.2","5.6","194.7","109.4"
"","Jalen Pickett","Den","G","24.6","3","3.6","12.8","0","0","0","2","1","1","0","0.667","0.667","1.3","0.3","0.3","0","0.3","0","1.7","1.7","2","5.4","0","0"
"","Dyson Daniels","Nor","G","21.2","3","5.7","18","14.3","0","0","4","0.5","2","0","0.333","0.333","1.3","0.7","0","0.7","0","0.3","2","1.3","2","0","58.6","111.9"
"","Doug McDermott","Ind","F","32.4","10","6.4","8.5","8.3","0","0","3","0.667","8","0.375","0.591","0.591","1.3","0.3","0.7","0","0.2","0.1","1.6","2","2.3","4.1","132.5","119.9"
"","Jaden Springer","Bos","G","21.7","3","4.7","13.2","50","0","0","2","1","0","0","1","1","1.3","0.3","0.3","0","0.3","0.7","1.7","1.7","2","4.2","89.5","110.5"
"","Shake Milton","Nyk","G-F","27.7","4","5.5","17.2","0","6","0.833","4","0","2","0","0","0.289","1.3","0.3","0.5","0.3","0","0","1.5","1.8","2","4.2","84.6","119.5"
"","Wendell Moore Jr.","Min","G","22.7","6","3.1","19.7","12.5","0","0","3","0.667","4","0.25","0.5","0.5","1.2","0.3","0.3","0.2","0","0.2","1.5","1.5","1.8","6.1","0","0"
"","Josh Minott","Min","F","21.5","5","3.6","22.6","0","0","0","4","0","5","0.4","0.333","0.333","1.2","1","0.6","0","0","0","2.2","1.8","2.8","10","0","0"
"","Oshae Brissett","Bos","F-G","26","8","4.9","10.5","12.5","2","0","6","0.5","1","1","0.643","0.571","1.1","1.4","0","0.4","0.1","0.1","2.5","1.1","2.5","0","106","103.5"
"","A.J. Lawson","Dal","G","23.9","8","2.4","18.5","0","2","0.5","1","1","6","0.333","0.571","0.571","1.1","0.4","0","0","0.1","0","1.5","1.1","1.5","0","0","0"
"","James Johnson","Ind","F","37.3","1","1","85","82","2","0.5","0","0","0","0","0","0.568","1","0","0","0","0","1","1","1","1","0","0","0"
"","Neemias Queta","Bos","C","24.9","2","4","11.7","0","0","0","2","0.5","0","0","0.5","0.5","1","1.5","0","0","0","0","2.5","1","2.5","0","124.4","113.2"
"","Caleb Houstan","Orl","G","21.4","3","4.7","6.3","0","0","0","0","0","2","0.5","0.75","0.75","1","0.7","0","0","0","0","1.7","1","1.7","0","158","118"
"","Chris Livingston","Mil","F","20.7","2","3.1","17.2","0","3","0","1","1","0","0","1","0.431","1","0","0","0","0","0","1","1","1","0","0","0"
"","Jordan Walsh","Bos","G","20.3","2","3","7.8","0","0","0","1","1","0","0","1","1","1","0.5","0","0","0","0","1.5","1","1.5","0","0","0"
"","Xavier Tillman","Bos","F","25.4","6","8.4","6.4","28.6","0","0","5","0.6","0","0","0.6","0.6","1","1.5","0.3","0.5","0.2","0.3","2.5","1.3","2.8","3.6","105.6","104.1"
"","Jarace Walker","Ind","F","20.8","9","3.4","25.4","36.8","3","0.667","7","0.429","3","0","0.3","0.353","0.9","0.4","0.4","0.2","0.1","0.7","1.3","1.3","1.8","6.2","0","0"
"","Svi Mykhailiuk","Bos","G-F","27","6","3.5","15.3","28.6","0","0","1","1","4","0.25","0.5","0.5","0.8","0.5","0.2","0.2","0","0.3","1.3","1","1.5","4.9","0","0"
"","MarJon Beauchamp","Mil","F","23.7","4","2.5","27.6","19.2","2","0.5","2","0.5","2","0","0.25","0.307","0.8","0.3","0.5","0","0","0.3","1","1.3","1.5","7.9","0","0"
"","Jordan McLaughlin","Min","G","28.2","6","5","18.1","18.2","2","0","4","0.5","5","0","0.222","0.202","0.7","0.7","0.3","0","0","0.3","1.3","1","1.7","4.2","45.4","112"
"","Bol Bol","Pho","C-F","24.6","3","4.3","10.8","0","0","0","3","0.333","0","0","0.333","0.333","0.7","1.3","0","0.3","0","0","2","0.7","2","0","72.1","94.2"
"","Kenrich Williams","Okc","G-F","29.5","7","4.5","11.6","0","0","0","3","0.667","5","0","0.25","0.25","0.6","1.1","0.4","0.1","0","0","1.7","1","2.1","5.7","81.5","103"
"","Kendall Brown","Ind","G","21.1","7","3.5","16.5","33.3","0","0","6","0.333","0","0","0.333","0.333","0.6","0.4","0.3","0","0.1","0.4","1","0.9","1.3","4.8","0","0"
"","Dwight Powell","Dal","F-C","32.9","11","3.1","10.2","37.8","6","0.667","3","0.333","0","0","0.333","0.532","0.5","0.7","0.1","0.1","0","0.2","1.3","0.6","1.4","4.2","0","0"
"","Ousmane Dieng","Okc","F","21.1","4","1.8","12.5","0","0","0","1","1","1","0","0.5","0.5","0.5","0","0","0","0","0","0.5","0.5","0.5","0","0","0"
"","Mamadi Diakite","Nyk","F","27.4","4","3.7","14.4","22.5","2","1","1","0","2","0","0","0.258","0.5","0.8","0.3","0.3","0.3","0.3","1.3","0.8","1.5","5.3","0","0"
"","Jaxson Hayes","Lal","C-F","24","4","6","9.4","47.4","2","0.5","2","0","0","0","0","0.174","0.3","3","0.3","0","0","0.5","3.3","0.5","3.5","4.3","70.8","82.6"
"","Hunter Tyson","Den","F","24","3","4.6","19.7","19.2","2","0.5","1","0","3","0","0","0.102","0.3","1","0.3","0","0","0.3","1.3","0.7","1.7","3.9","42.8","119.3"
"","Thanasis Antetokounmpo","Mil","F","31.9","2","2.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0","0","0","0"
"","Damian Jones","Cle","C","28.9","2","4.6","10.1","100","0","0","0","0","0","0","0","0","0","1","1","0","0.5","1","1","1","2","0","0","119.5"
"","De'Anthony Melton","Phi","G","26","1","7.2","12.8","0","0","0","0","0","2","0","0","0","0","1","1","0","0","0","1","1","2","0","33.1","104.6"
"","Goga Bitadze","Orl","C-F","24.9","2","4.9","13.4","33.3","0","0","2","0","0","0","0","0","0","1.5","1","0","0","0.5","1.5","1","2.5","0","56.1","114.6"
"","Lindy Waters III","Okc","F","26.9","3","2.8","5.4","0","0","0","0","0","1","0","0","0","0","0.3","0","0","0","0","0.3","0","0.3","0","0","0"
"","Matt Ryan","Nor","F","27.1","1","2.5","35","50","0","0","0","0","1","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0"
"","E.J. Liddell","Nor","F","23.5","1","2.5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Orlando Robinson","Mia","C","23.9","1","2.5","19.6","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","2","0","0","0"
"","Leonard Miller","Min","F","20.5","3","2.3","6.7","0","0","0","0","0","1","0","0","0","0","1.3","0","0","0","0","1.3","0","1.3","0","0","0"
"","Jordan Hawkins","Nor","G","22.1","3","3.8","15.2","0","0","0","1","0","3","0","0","0","0","0.7","0","0","0","0","0.7","0","0.7","0","0","0"
"","Kobe Brown","Lac","F","24.4","3","3.2","0","0","0","0","0","0","0","0","0","0","0","0.7","0","0","0","0","0.7","0","0.7","0","0","0"
"","Olivier-Maxence Prosper","Dal","F","21.9","1","0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","David Roddy","Pho","F","23.2","2","1.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Gordon Hayward","Okc","F","34.2","7","6.6","3","0","0","0","3","0","0","0","0","0","0","1.9","0.4","0.1","0.1","0","1.9","0.4","2.3","0","76.5","108"
"","Thaddeus Young","Pho","F","36","1","3.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","T.J. Warren","Min","F","30.8","3","3.8","8.1","0","0","0","1","0","1","0","0","0","0","1","0.3","0","0","0","1","0.3","1.3","0","0","0"
"","Isaiah Thomas","Pho","G","35.3","1","3.6","39.1","33.3","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
